,attention -> next-week abnormal volume,attention -> next-week return,attention (reversal-controlled) -> return,momentum (last-week return) -> return,GNN forecast -> same-week abnormal volume,GNN forecast -> same-week return
2020-01-03,,,,-0.08689839572192513,,
2020-01-10,,,,-0.042446524064171126,,
2020-01-17,-0.16363636363636366,0.45454545454545453,0.6545454545454547,-0.11163101604278076,,
2020-01-24,0.02727272727272728,0.33636363636363636,-0.11818181818181818,0.12733957219251338,,
2020-01-31,0.21818181818181823,0.3727272727272728,0.3727272727272728,-0.08255347593582889,,
2020-02-07,0.05454545454545456,0.27272727272727276,0.24545454545454545,-0.06818181818181819,,
2020-02-14,0.2867132867132868,0.3916083916083916,0.09090909090909093,-0.028074866310160432,,
2020-02-21,0.14685314685314685,-0.027972027972027972,-0.027972027972027972,-0.08823529411764706,,
2020-02-28,-0.16783216783216784,0.5664335664335665,0.4125874125874127,0.19351604278074866,,
2020-03-06,-0.6293706293706295,0.4895104895104896,-0.09090909090909093,0.07754010695187166,,
2020-03-13,-0.07272727272727274,-0.03636363636363637,0.13636363636363638,0.17245989304812834,,
2020-03-20,-0.22727272727272727,-0.17272727272727276,0.018181818181818184,-0.36798128342245995,,
2020-03-27,0.15454545454545454,-0.44545454545454555,-0.44545454545454555,-0.5688502673796791,,
2020-04-03,0.28181818181818186,0.21818181818181823,-0.22727272727272727,-0.6383689839572193,,
2020-04-10,-0.46363636363636374,-0.13636363636363638,-0.13636363636363638,-0.2660427807486631,,
2020-04-17,0.3076923076923077,0.2447552447552448,0.18881118881118883,0.06417112299465241,,
2020-04-24,0.06363636363636364,-0.44545454545454555,-0.44545454545454555,-0.39772727272727276,,
2020-05-01,0.13636363636363638,-0.18181818181818182,-0.36363636363636365,-0.47359625668449196,,
2020-05-08,0.08391608391608392,0.04195804195804196,0.02097902097902098,0.286096256684492,,
2020-05-15,0.30069930069930073,-0.08391608391608392,-0.1188811188811189,-0.36965240641711233,,
2020-05-22,0.17482517482517487,-0.5034965034965035,-0.5804195804195805,0.34425133689839577,,
2020-05-29,-0.32867132867132864,-0.09090909090909093,0.14685314685314685,0.5431149732620322,,
2020-06-05,0.7132867132867133,0.18881118881118883,0.3426573426573427,-0.20287433155080214,,
2020-06-12,-0.07692307692307693,-0.055944055944055944,0.3076923076923077,0.2891042780748663,,
2020-06-19,0.2027972027972028,0.1258741258741259,0.2447552447552448,0.5731951871657754,,
2020-06-26,-0.2657342657342658,-0.2027972027972028,-0.15384615384615385,-0.3379010695187166,,
2020-07-03,-0.18881118881118883,0.1258741258741259,0.06293706293706294,-0.015040106951871657,,
2020-07-10,-0.43636363636363645,-0.28181818181818186,-0.20909090909090913,-0.46256684491978617,,
2020-07-17,0.5727272727272729,-0.36363636363636365,-0.1272727272727273,-0.19786096256684493,,
2020-07-24,-0.018181818181818184,0.48181818181818187,0.48181818181818187,0.4314839572192513,,
2020-07-31,0.05454545454545456,-0.44545454545454555,-0.38181818181818183,0.14605614973262032,,
2020-08-07,0.3090909090909091,-0.5636363636363637,-0.45454545454545453,0.19919786096256686,,
2020-08-14,-0.03846153846153846,0.13736263736263735,0.08241758241758242,-0.05882352941176471,,
2020-08-21,-0.04195804195804196,-0.10489510489510491,-0.21678321678321683,-0.046457219251336904,,
2020-08-28,0.1758241758241758,-0.021978021978021976,-0.021978021978021976,0.14572192513368984,,
2020-09-04,0.15384615384615383,0.0879120879120879,0.03846153846153846,0.3108288770053476,,
2020-09-11,0.15934065934065936,-0.0879120879120879,-0.2087912087912088,0.4127673796791444,,
2020-09-18,-0.2967032967032967,0.3450549450549451,0.42857142857142855,-0.26270053475935834,,
2020-09-25,0.2747252747252747,0.1824175824175824,0.1824175824175824,-0.0346829640947288,,
2020-10-02,0.010989010989010988,0.002197802197802198,-0.07252747252747253,0.10404889228418639,,
2020-10-09,-0.0945054945054945,-0.01098901098901099,-0.09010989010989012,0.020932009167303284,,
2020-10-16,0.5428571428571429,0.059340659340659345,-0.0857142857142857,-0.05851795263559969,,
2020-10-23,0.3626373626373627,0.3538461538461538,0.3538461538461538,0.16638655462184873,,
2020-10-30,0.4945054945054946,0.23956043956043957,0.11208791208791209,-0.13216195569136746,,
2020-11-06,-0.05054945054945055,-0.14285714285714285,-0.054945054945054944,-0.30664629488158895,,
2020-11-13,0.35824175824175825,-0.4021978021978022,-0.3494505494505495,-0.007181054239877769,,
2020-11-20,0.3142857142857143,0.14285714285714285,0.2043956043956044,0.36684491978609624,,
2020-11-27,0.6263736263736264,0.2527472527472528,0.12087912087912088,0.23300229182582122,,
2020-12-04,0.5780219780219781,0.5692307692307692,0.2879120879120879,0.12635599694423225,,
2020-12-11,0.14285714285714285,-0.35824175824175825,-0.2175824175824176,-0.011153552330022918,,
2020-12-18,0.16923076923076924,-0.3494505494505495,-0.16923076923076924,0.05699006875477463,,
2020-12-25,0.1164835164835165,-0.2967032967032967,-0.3142857142857143,0.05851795263559969,,
2021-01-01,-0.03736263736263736,-0.24835164835164836,-0.3010989010989011,0.07012987012987013,,
2021-01-08,0.23076923076923075,-0.1032967032967033,-0.1164835164835165,-0.07012987012987013,,
2021-01-15,0.11208791208791209,0.006593406593406593,-0.02417582417582418,-0.05179526355996945,,
2021-01-22,0.46373626373626364,-0.07692307692307693,-0.07692307692307693,-0.044766997708174175,,
2021-01-29,-0.02857142857142857,-0.03736263736263736,-0.13406593406593406,-0.13796791443850268,,
2021-02-05,0.5032967032967033,0.0989010989010989,0.1076923076923077,-0.06432391138273491,,
2021-02-12,0.24835164835164836,-0.1252747252747253,-0.1076923076923077,0.14530175706646295,,
2021-02-19,-0.04175824175824176,0.3406593406593406,0.5076923076923077,0.2708938120702826,,
2021-02-26,-0.14285714285714285,0.06373626373626373,0.1384615384615385,0.6119174942704354,,
2021-03-05,-0.015384615384615385,-0.39780219780219783,-0.38461538461538464,-0.5187165775401069,,
2021-03-12,0.14725274725274726,0.5648351648351648,0.15164835164835166,-0.3567608861726509,,
2021-03-19,-0.3054945054945055,0.45494505494505494,0.5604395604395604,0.0050420168067226885,,
2021-03-26,0.15164835164835166,-0.1956043956043956,-0.1164835164835165,-0.3042016806722689,,
2021-04-02,0.21318681318681318,0.09010989010989012,0.04615384615384615,0.27639419404125287,,
2021-04-09,-0.1912087912087912,0.032967032967032975,-0.01978021978021978,0.22658517952635596,,
2021-04-16,0.09010989010989012,-0.13406593406593406,-0.1032967032967033,0.01787624140565317,,
2021-04-23,0.16483516483516483,-0.22637362637362637,0.02417582417582418,0.15171886936592818,,
2021-04-30,-0.18681318681318684,0.6175824175824175,0.7054945054945055,-0.030710466004583648,,
2021-05-07,0.178021978021978,0.1912087912087912,0.1956043956043956,0.1896103896103896,,
2021-05-14,-0.3494505494505495,0.04615384615384615,0.06813186813186813,0.08785332314744079,,
2021-05-21,0.16483516483516483,0.23076923076923075,0.3186813186813187,0.04629488158899923,,
2021-05-28,0.3802197802197802,-0.12087912087912088,-0.14725274725274726,-0.003819709702062643,,
2021-06-04,0.1164835164835165,-0.2351648351648352,-0.2351648351648352,0.18472116119174942,,
2021-06-11,-0.2043956043956044,0.49890109890109896,0.4241758241758242,0.2360580595874713,,
2021-06-18,-0.16483516483516483,-0.5120879120879122,-0.4813186813186813,-0.42887700534759354,,
