a,b,distance,peak_corr,theme
AI,Google Cloud,2,0.14953006925393753,ai-buildout
AI,CoreWeave,2,0.07777868994798569,ai-buildout
AI,Oracle,2,0.07213920778360018,ai-buildout
AI,Vertiv,2,0.0543976682482633,ai-buildout
AI,Nuclear power,2,0.03872109282609129,ai-buildout
AI,SMR,3,0.08729223467372155,ai-buildout
AI,Natural gas,2,0.04689874735221097,ai-buildout
AI,Constellation,2,0.02114709759342886,ai-buildout
AI,NextEra,2,0.0860061293621944,ai-buildout
AI,Vistra,2,0.07648282338323148,ai-buildout
AI,GE Vernova,2,-0.0047230225982478145,ai-buildout
AI,Electrical grid,2,0.07365166839864415,ai-buildout
AI,Transformer (device),3,0.16607900265938136,ai-buildout
AI,Quanta Services,3,0.10950356051029765,ai-buildout
AI,Eaton,3,0.11082861297775283,ai-buildout
AI,Copper,3,0.06939212989013747,ai-buildout
AI,Uranium,3,0.12022361579649524,ai-buildout
AI,Tesla,3,0.06259923033886976,ai-buildout
Humanoid robot,Nvidia,1,0.02621922829832502,ai-buildout
Humanoid robot,AMD,3,0.08647144242433331,ai-buildout
Humanoid robot,TSMC,2,0.053458450060273895,ai-buildout
Humanoid robot,ASML,3,0.07884133377591539,ai-buildout
Humanoid robot,SK Hynix,3,0.04036931396114608,ai-buildout
Humanoid robot,Micron,3,0.12603405416809216,ai-buildout
Humanoid robot,Samsung,3,0.08716195046004653,ai-buildout
Humanoid robot,HBM,2,0.060157777389657004,ai-buildout
Humanoid robot,Data center,2,0.07097419987287051,ai-buildout
Humanoid robot,Azure,3,0.08074641399412993,ai-buildout
Humanoid robot,AWS,3,0.08673405777088164,ai-buildout
Humanoid robot,Google Cloud,3,0.23601343786366297,ai-buildout
Humanoid robot,CoreWeave,3,0.13006473757485473,ai-buildout
Humanoid robot,Oracle,3,0.08176500339457801,ai-buildout
Humanoid robot,Vertiv,3,0.04941523056994576,ai-buildout
Humanoid robot,Nuclear power,3,0.1437464409085389,ai-buildout
Humanoid robot,SMR,4,0.19588880292413066,ai-buildout
Humanoid robot,Natural gas,3,0.13452869845177692,ai-buildout
Humanoid robot,Constellation,3,0.1623689585894549,ai-buildout
Humanoid robot,NextEra,3,0.040497786738673866,ai-buildout
Humanoid robot,Vistra,3,0.05516232885969013,ai-buildout
Humanoid robot,GE Vernova,3,0.10513505140231909,ai-buildout
Humanoid robot,Electrical grid,3,0.12474680683986794,ai-buildout
Humanoid robot,Transformer (device),4,0.22190442935883306,ai-buildout
Humanoid robot,Quanta Services,4,0.05551944904813641,ai-buildout
Humanoid robot,Eaton,4,0.12031833644996687,ai-buildout
Humanoid robot,Copper,4,0.20863827523367057,ai-buildout
Humanoid robot,Uranium,4,0.11385781568591793,ai-buildout
Humanoid robot,Tesla,1,0.08444504464388632,ai-buildout
Nvidia,AMD,2,0.4295028730813762,ai-buildout
Nvidia,TSMC,1,0.23086573828869403,ai-buildout
Nvidia,ASML,2,0.13003482265915975,ai-buildout
Nvidia,SK Hynix,2,0.03215506353064396,ai-buildout
Nvidia,Micron,2,0.22115315352772674,ai-buildout
Nvidia,Samsung,2,0.09590949245431085,ai-buildout
Nvidia,HBM,1,0.08341349332388667,ai-buildout
Nvidia,Data center,1,0.09332515856324394,ai-buildout
Nvidia,Azure,2,0.09728796568349829,ai-buildout
Nvidia,AWS,2,0.11652531236755546,ai-buildout
Nvidia,Google Cloud,2,0.11930941451232747,ai-buildout
Nvidia,CoreWeave,2,0.11142481471599595,ai-buildout
Nvidia,Oracle,2,0.14334715111694366,ai-buildout
Nvidia,Vertiv,2,0.09681573346916009,ai-buildout
Nvidia,Nuclear power,2,0.11929891070801084,ai-buildout
Nvidia,SMR,3,0.06512151594939118,ai-buildout
Nvidia,Natural gas,2,0.041006744422757604,ai-buildout
Nvidia,Constellation,2,0.0704738831007685,ai-buildout
Nvidia,NextEra,2,0.0969062621921386,ai-buildout
Nvidia,Vistra,2,0.08016670587338456,ai-buildout
Nvidia,GE Vernova,2,0.004215387212497112,ai-buildout
Nvidia,Electrical grid,2,0.108813845850769,ai-buildout
Nvidia,Transformer (device),3,0.10775012577892894,ai-buildout
Nvidia,Quanta Services,3,0.09914305199016088,ai-buildout
Nvidia,Eaton,3,0.07266888578708741,ai-buildout
Nvidia,Copper,3,0.12333339344911275,ai-buildout
Nvidia,Uranium,3,0.20229267389563857,ai-buildout
Nvidia,Tesla,2,0.033415718433964,ai-buildout
AMD,TSMC,1,0.23619647064020474,ai-buildout
AMD,ASML,2,0.07878098125759954,ai-buildout
AMD,SK Hynix,4,0.08995572448456823,ai-buildout
AMD,Micron,4,0.11378719099999728,ai-buildout
AMD,Samsung,3,0.22498958765573435,ai-buildout
AMD,HBM,3,0.08922356960363312,ai-buildout
AMD,Data center,2,0.08671008831113881,ai-buildout
AMD,Azure,4,0.09549719834163783,ai-buildout
AMD,AWS,3,0.07247974275161803,ai-buildout
AMD,Google Cloud,3,0.08022172346750711,ai-buildout
AMD,CoreWeave,3,0.09193158211398497,ai-buildout
AMD,Oracle,3,0.1304022397990582,ai-buildout
AMD,Vertiv,3,0.12594896264782682,ai-buildout
AMD,Nuclear power,3,0.05187605659353971,ai-buildout
AMD,SMR,4,0.05124290243356138,ai-buildout
AMD,Natural gas,3,0.12371782656113385,ai-buildout
AMD,Constellation,3,0.10949661132703609,ai-buildout
AMD,NextEra,3,0.06894628877458839,ai-buildout
AMD,Vistra,3,0.0713946502158851,ai-buildout
AMD,GE Vernova,3,0.07009351387729568,ai-buildout
AMD,Electrical grid,3,0.09040085832742888,ai-buildout
AMD,Transformer (device),4,0.056658445379377635,ai-buildout
AMD,Quanta Services,4,0.11782083140076552,ai-buildout
