a,b,distance,peak_corr
Humanoid robot,Natural gas,3,0.13452869845177692
Humanoid robot,Constellation,3,0.1623689585894549
Humanoid robot,NextEra,3,0.040497786738673866
Humanoid robot,Vistra,3,0.05516232885969013
Humanoid robot,GE Vernova,3,0.10513505140231909
Humanoid robot,Electrical grid,3,0.12474680683986794
Humanoid robot,Transformer (device),4,0.22190442935883306
Humanoid robot,Quanta Services,4,0.05551944904813641
Humanoid robot,Eaton,4,0.12031833644996687
Humanoid robot,Copper,4,0.20863827523367057
Humanoid robot,Uranium,4,0.11385781568591793
Humanoid robot,Tesla,1,0.08444504464388632
Nvidia,AMD,2,0.4295028730813762
Nvidia,TSMC,1,0.23086573828869403
Nvidia,ASML,2,0.13003482265915975
Nvidia,SK Hynix,2,0.03215506353064396
Nvidia,Micron,2,0.22115315352772674
Nvidia,Samsung,2,0.09590949245431085
Nvidia,HBM,1,0.08341349332388667
Nvidia,Data center,1,0.09332515856324394
Nvidia,Azure,2,0.09728796568349829
Nvidia,AWS,2,0.11652531236755546
Nvidia,Google Cloud,2,0.11930941451232747
Nvidia,CoreWeave,2,0.11142481471599595
Nvidia,Oracle,2,0.14334715111694366
Nvidia,Vertiv,2,0.09681573346916009
Nvidia,Nuclear power,2,0.11929891070801084
Nvidia,SMR,3,0.06512151594939118
Nvidia,Natural gas,2,0.041006744422757604
Nvidia,Constellation,2,0.0704738831007685
Nvidia,NextEra,2,0.0969062621921386
Nvidia,Vistra,2,0.08016670587338456
Nvidia,GE Vernova,2,0.004215387212497112
Nvidia,Electrical grid,2,0.108813845850769
Nvidia,Transformer (device),3,0.10775012577892894
Nvidia,Quanta Services,3,0.09914305199016088
Nvidia,Eaton,3,0.07266888578708741
Nvidia,Copper,3,0.12333339344911275
Nvidia,Uranium,3,0.20229267389563857
Nvidia,Tesla,2,0.033415718433964
AMD,TSMC,1,0.23619647064020474
AMD,ASML,2,0.07878098125759954
AMD,SK Hynix,4,0.08995572448456823
AMD,Micron,4,0.11378719099999728
AMD,Samsung,3,0.22498958765573435
AMD,HBM,3,0.08922356960363312
AMD,Data center,2,0.08671008831113881
AMD,Azure,4,0.09549719834163783
AMD,AWS,3,0.07247974275161803
AMD,Google Cloud,3,0.08022172346750711
AMD,CoreWeave,3,0.09193158211398497
AMD,Oracle,3,0.1304022397990582
AMD,Vertiv,3,0.12594896264782682
AMD,Nuclear power,3,0.05187605659353971
AMD,SMR,4,0.05124290243356138
AMD,Natural gas,3,0.12371782656113385
AMD,Constellation,3,0.10949661132703609
AMD,NextEra,3,0.06894628877458839
AMD,Vistra,3,0.0713946502158851
AMD,GE Vernova,3,0.07009351387729568
AMD,Electrical grid,3,0.09040085832742888
AMD,Transformer (device),4,0.056658445379377635
AMD,Quanta Services,4,0.11782083140076552
AMD,Eaton,4,0.04068706818661359
AMD,Copper,4,0.09474325337581027
AMD,Uranium,4,0.1376280979295838
AMD,Tesla,4,0.10363734833981013
TSMC,ASML,1,0.28727082715620844
TSMC,SK Hynix,3,0.07189673230192711
TSMC,Micron,3,0.07306537925756765
TSMC,Samsung,2,0.07360376852270036
TSMC,HBM,2,0.12187819993111301
TSMC,Data center,2,0.09192007601539262
TSMC,Azure,3,0.046917952949480854
TSMC,AWS,3,0.07397164788800997
TSMC,Google Cloud,3,0.11773984203229604
